d,N,seed,mse
7,1,0,278.4005431770551
7,1,1,323.73331242076335
7,1,2,315.21407503413997
7,1,3,328.0558236771022
7,1,4,302.47388807763394
7,1,5,309.455263261945
7,1,6,277.91169729580645
7,1,7,312.5609397521672
7,3,0,103.9061257533771
7,3,1,96.49750794316009
7,3,2,102.1963999851828
7,3,3,101.70359453757884
7,3,4,97.14635058381923
7,3,5,101.95538560089453
7,3,6,106.88816644576896
7,3,7,104.05798784778912
7,10,0,29.461065058596393
7,10,1,33.03180386212013
7,10,2,30.588830872289797
7,10,3,28.738625923807113
7,10,4,29.156139663894226
7,10,5,32.0016870754234
7,10,6,30.31570236521074
7,10,7,29.782857358431173
7,30,0,9.497094729129891
7,30,1,10.83016203978742
7,30,2,10.18534435007543
7,30,3,10.17357400721744
7,30,4,11.02664394976678
7,30,5,10.53048858777701
7,30,6,11.097766990468555
7,30,7,10.423441301291193
7,100,0,2.8945969151191284
7,100,1,2.9537970546010337
7,100,2,3.1033627317907633
7,100,3,3.2404229304091583
7,100,4,3.220839024540773
7,100,5,3.2176615977563254
7,100,6,3.198432857285928
7,100,7,3.156232611730002
7,300,0,1.1797868534625595
7,300,1,1.2447404134693156
7,300,2,1.0640198815847057
7,300,3,1.162711918110385
7,300,4,1.0889480118662787
7,300,5,1.1458495921258642
7,300,6,1.127599976108889
7,300,7,1.111732758188938
7,1000,0,0.42992730503800075
7,1000,1,0.4503671923748754
7,1000,2,0.4807158540092379
7,1000,3,0.41520317933074347
7,1000,4,0.4388873288525594
7,1000,5,0.438075795934777
7,1000,6,0.4274302540519244
7,1000,7,0.42906657033534007
