rho,ratio,seed,mse
0.99,0.7,0,0.9730624553719971
0.99,0.7,1,0.9617925015031858
0.99,0.7,2,0.9479185259196712
0.99,0.7,3,1.0105750406356424
0.99,0.7,4,0.9603796387796933
0.99,0.7,5,0.9977039858390331
0.99,0.85,0,0.9757460565825979
0.99,0.85,1,0.963256943192577
0.99,0.85,2,0.9505175069335698
0.99,0.85,3,1.0139213529756346
0.99,0.85,4,0.962568668532258
0.99,0.85,5,1.0006753211961403
0.99,0.95,0,0.9863453844521348
0.99,0.95,1,0.9730695061043526
0.99,0.95,2,0.9610292109614024
0.99,0.95,3,1.0251627640797596
0.99,0.95,4,0.9728954614346705
0.99,0.95,5,1.0116339780276757
0.99,1.0,0,0.9947542442959644
0.99,1.0,1,0.9811051835251821
0.99,1.0,2,0.969381954670194
0.99,1.0,3,1.033958632536319
0.99,1.0,4,0.9811910381890386
0.99,1.0,5,1.0202799220688807
0.99,1.05,0,1.0053836182493117
0.99,1.05,1,0.9913797409783566
0.99,1.05,2,0.9799455193405818
0.99,1.05,3,1.0450204193099915
0.99,1.05,4,0.9917241791181547
0.99,1.05,5,1.0311866858658023
0.99,1.15,0,1.0335690040192673
0.99,1.15,1,1.0189229145484016
0.99,1.15,2,1.007965440260982
0.99,1.15,3,1.074207614775969
0.99,1.15,4,1.0197709091990392
0.99,1.15,5,1.0600502944632477
0.99,1.3,0,1.093343112486279
0.99,1.3,1,1.0779356658153578
0.99,1.3,2,1.0673888015009219
0.99,1.3,3,1.1358140008420905
0.99,1.3,4,1.0794705780679492
0.99,1.3,5,1.1211434280608714
0.999,0.7,0,0.48397747212606773
0.999,0.7,1,0.48288534604569133
0.999,0.7,2,0.4665279271353506
0.999,0.7,3,0.5026976497860985
0.999,0.7,4,0.4752488498781234
0.999,0.7,5,0.4957137090816975
0.999,0.85,0,0.3255966034342097
0.999,0.85,1,0.3176892663009111
0.999,0.85,2,0.30856120454527824
0.999,0.85,3,0.34104341251940246
0.999,0.85,4,0.31363969151305815
0.999,0.85,5,0.33266213010465623
0.999,0.95,0,0.2674644267806134
0.999,0.95,1,0.2547428997163442
0.999,0.95,2,0.2512757480848246
0.999,0.95,3,0.2817824928868027
0.999,0.95,4,0.2542363768468842
0.999,0.95,5,0.2722752290042144
0.999,1.0,0,0.2603374432213305
0.999,1.0,1,0.24538230775686762
0.999,1.0,2,0.24481891227878727
0.999,1.0,3,0.2746294175024775
0.999,1.0,4,0.2469387336188809
0.999,1.0,5,0.2645643721751876
0.999,1.05,0,0.2705701727265592
0.999,1.05,1,0.2536296843472195
0.999,1.05,2,0.255893651911684
0.999,1.05,3,0.2852884957295079
0.999,1.05,4,0.25737096688282773
0.999,1.05,5,0.2747018213724447
0.999,1.15,0,0.34731578762024845
0.999,1.15,1,0.32749029782597056
0.999,1.15,2,0.334735532176488
0.999,1.15,3,0.36443217420601437
0.999,1.15,4,0.33563963780772754
0.999,1.15,5,0.3529849841472266
0.999,1.3,0,0.5960473567499492
0.999,1.3,1,0.5751732003920502
0.999,1.3,2,0.5867182227742918
0.999,1.3,3,0.6206231080683694
0.999,1.3,4,0.5886849028563854
0.999,1.3,5,0.6083936472544105
0.9999,0.7,0,0.4964797232582412
0.9999,0.7,1,0.4993464638219176
0.9999,0.7,2,0.4796042688116734
0.9999,0.7,3,0.5126412400174585
0.9999,0.7,4,0.48934912791419527
0.9999,0.7,5,0.5069531169609194
0.9999,0.85,0,0.30807435382343173
0.9999,0.85,1,0.30275635984129795
0.9999,0.85,2,0.2912065116850409
0.9999,0.85,3,0.31948409284794654
0.9999,0.85,4,0.29670740373573545
0.9999,0.85,5,0.3119590983860269
0.9999,0.95,0,0.23491877171897965
0.9999,0.95,1,0.22340454120999403
0.9999,0.95,2,0.21885219670512687
0.9999,0.95,3,0.24418959105882126
0.9999,0.95,4,0.22177287167068035
0.9999,0.95,5,0.23512135960955463
0.9999,1.0,0,0.2246999833665705
0.9999,1.0,1,0.2102328750690155
0.9999,1.0,2,0.20945422703778038
0.9999,1.0,3,0.2335420648682446
0.9999,1.0,4,0.2113268752522039
0.9999,1.0,5,0.2237131057046515
0.9999,1.05,0,0.23611506753404335
0.9999,1.05,1,0.2190105572410357
0.9999,1.05,2,0.2220176289958025
0.9999,1.05,3,0.2451160704333722
0.9999,1.05,4,0.22307997022620202
0.9999,1.05,5,0.23459522928327117
0.9999,1.15,0,0.3305182014351153
0.9999,1.15,1,0.3096932418669311
0.9999,1.15,2,0.3196073682122551
0.9999,1.15,3,0.34197371737022797
0.9999,1.15,4,0.31993871186331724
0.9999,1.15,5,0.330425676988574
0.9999,1.3,0,0.6411527129512332
0.9999,1.3,1,0.6196730211991173
0.9999,1.3,2,0.6357112885418101
0.9999,1.3,3,0.661873962314196
0.9999,1.3,4,0.6373899443697084
0.9999,1.3,5,0.6497797688568535
