a,tau,kalman_mse,kalman_sem,riccati,rel_pct,pi_mse,pi_unstable
0.0,1,0.7301268723757492,0.0031137807067803014,0.7366851336039474,0.8902393884500395,0.977316794410716,False
0.0,2,0.8193775633691668,0.003619648263325253,0.8266851336039474,0.8839605235094886,1.1153984683842095,False
0.0,5,1.0874244542099878,0.00551125722884003,1.0966851336039483,0.8444246311179439,1.7756362117382838,False
0.0,10,1.5342341257160053,0.00974076298423878,1.5466851336039487,0.8050124500085654,9.67041584912953,False
0.0,15,1.9815914590782309,0.014636464803632506,1.996685133603949,0.7559366407699256,,True
0.9,1,3.722036245690277,0.010559490659636968,3.73345387675983,0.30581952922000255,30.664020202870994,False
0.9,2,5.511643121951128,0.01697993185331501,5.5257623981584425,0.2555172515564601,35.02732273296325,False
0.9,5,13.702630026848055,0.05554050497971896,13.72791691873408,0.18420050205516467,58.31083813504586,False
0.9,10,35.9496648251292,0.18737877996868682,36.019939252917176,0.19509868491043442,375.5437417607945,False
0.9,15,66.43627382436725,0.3967186844832506,66.62637397071035,0.2853226658059896,,True
0.99,1,4.794800141306332,0.013414482338155684,4.806380115962209,0.24092923107389297,122.72721146056429,False
0.99,2,7.593116774217254,0.0233006254903989,7.6071742118201815,0.1847918453225996,132.58365414075996,False
0.99,5,22.74014911375546,0.0907108748390193,22.76625529993816,0.11467053249977842,182.51106891342144,False
0.99,10,78.77797745516169,0.38443397326675155,78.88007983601618,0.12944000699130923,834.3500144428133,False
0.99,15,186.53568344747387,1.0139208306720378,186.97801524360884,0.2365688798004742,,True
