delay,seed,mse,unstable
1,0,0.6252517632146817,False
1,1,0.6100531740111781,False
1,2,0.6317961573391149,False
1,3,0.5921570873858563,False
1,4,0.6505800349672053,False
1,5,0.6016872833609781,False
1,6,0.5935738919322641,False
1,7,0.606617453558347,False
2,0,0.6651332260925239,False
2,1,0.6495146298396399,False
2,2,0.672651562119821,False
2,3,0.6329318194041911,False
2,4,0.6922829461119909,False
2,5,0.6429890491198884,False
2,6,0.6307016762126265,False
2,7,0.6503051405447341,False
5,0,0.8555119138338977,False
5,1,0.8420655933774878,False
5,2,0.8723737459589597,False
5,3,0.8313502146998016,False
5,4,0.8963760118980811,False
5,5,0.8442587282555766,False
5,6,0.8089758528171994,False
5,7,0.8658504637696262,False
10,0,3.1426058746466885,False
10,1,3.337279501956099,False
10,2,3.288400754730482,False
10,3,3.3216173058449288,False
10,4,3.369776595978837,False
10,5,3.621837484952875,False
10,6,2.8995438985332513,False
10,7,3.3342402788669014,False
20,-1,,True
