exp,d,N,controller,seed,mse
ladder,0,10,P,0,14.086222123933378
ladder,0,10,P,1,13.78966996875641
ladder,0,10,P,2,13.641677484659716
ladder,0,10,P,3,13.228785695231652
ladder,0,10,P,4,13.682399209693035
ladder,0,10,P,5,13.36615618477225
ladder,0,300,P,0,3.648012622874764
ladder,0,300,P,1,3.608778214488001
ladder,0,300,P,2,3.685663036042508
ladder,0,300,P,3,3.685205994222475
ladder,0,300,P,4,3.6475790147708738
ladder,0,300,P,5,3.625814046207783
ladder,1,10,PI,0,16.9727135112223
ladder,1,10,PI,1,16.219338084290314
ladder,1,10,PI,2,16.760910807361096
ladder,1,10,PI,3,15.899019240828364
ladder,1,10,PI,4,16.51707244689159
ladder,1,10,PI,5,15.841498895266536
ladder,1,300,PI,0,2.355237779850421
ladder,1,300,PI,1,2.316696192699512
ladder,1,300,PI,2,2.2963237035799113
ladder,1,300,PI,3,2.3594311024020374
ladder,1,300,PI,4,2.295929526915733
ladder,1,300,PI,5,2.2779156262605578
ladder,2,10,RES,0,6.503040504420638
ladder,2,10,RES,1,6.441290178746599
ladder,2,10,RES,2,6.51534105797701
ladder,2,10,RES,3,6.5017245709176015
ladder,2,10,RES,4,6.717752934124029
ladder,2,10,RES,5,6.588238211020358
ladder,2,300,RES,0,1.7566541749586686
ladder,2,300,RES,1,1.7447857200081667
ladder,2,300,RES,2,1.7536944162871841
ladder,2,300,RES,3,1.8152792716860195
ladder,2,300,RES,4,1.737014626821173
ladder,2,300,RES,5,1.7549046074635026
switch,-1,300,oracle-RES@0.007,0,2.1374499702706746
switch,-1,300,oracle-RES@0.007,1,2.041163925051946
switch,-1,300,oracle-RES@0.007,2,2.022976455537838
switch,-1,300,oracle-RES@0.007,3,2.0255605770230303
switch,-1,300,oracle-RES@0.007,4,2.0493091327887627
switch,-1,300,oracle-RES@0.007,5,2.116513935034362
switch,-1,300,PI,0,3.7414776828208343
switch,-1,300,PI,1,3.7702432410968507
switch,-1,300,PI,2,3.758972309971377
switch,-1,300,PI,3,3.758951724511727
switch,-1,300,PI,4,3.7764824281022915
switch,-1,300,PI,5,3.7208603385095986
switch,-1,300,ADAPT,0,2.1491474615874515
switch,-1,300,ADAPT,1,2.9045452199642776
switch,-1,300,ADAPT,2,2.4699000741161434
switch,-1,300,ADAPT,3,2.3587521087662617
switch,-1,300,ADAPT,4,2.546352010450618
switch,-1,300,ADAPT,5,2.2475844054114784
