N,ctrl,seed,mse
3,P (d=0),0,13.487110924942336
3,P (d=0),1,13.160055794252838
3,P (d=0),2,13.556346649942615
3,P (d=0),3,13.529577034774515
3,P (d=0),4,13.389775361807729
3,P (d=0),5,13.057627723104714
3,PI (d=1),0,12.546561422933749
3,PI (d=1),1,12.28162071967432
3,PI (d=1),2,12.83070588594364
3,PI (d=1),3,12.725117574114194
3,PI (d=1),4,12.689163603182823
3,PI (d=1),5,12.461178296330504
3,PI+res (d=3),0,13.836456040208326
3,PI+res (d=3),1,13.53734354704444
3,PI+res (d=3),2,14.227797938767942
3,PI+res (d=3),3,14.118324228917526
3,PI+res (d=3),4,14.024725738821983
3,PI+res (d=3),5,13.75839919339247
10,P (d=0),0,6.615676542481291
10,P (d=0),1,6.488053335959171
10,P (d=0),2,6.607789715044938
10,P (d=0),3,6.6094163096082
10,P (d=0),4,6.542741568816439
10,P (d=0),5,6.389346299817545
10,PI (d=1),0,4.029304294932751
10,PI (d=1),1,3.9499170191106403
10,PI (d=1),2,4.114727526572901
10,PI (d=1),3,4.077567285465474
10,PI (d=1),4,4.0804239507754065
10,PI (d=1),5,3.9979501254667777
10,PI+res (d=3),0,4.2106047387521
10,PI+res (d=3),1,4.122746642062583
10,PI+res (d=3),2,4.329834249439897
10,PI+res (d=3),3,4.2861359278538
10,PI+res (d=3),4,4.274125175437356
10,PI+res (d=3),5,4.187824820942207
30,P (d=0),0,4.64453538235718
30,P (d=0),1,4.584605914865305
30,P (d=0),2,4.624291688105299
30,P (d=0),3,4.6312140319339345
30,P (d=0),4,4.59338805451652
30,P (d=0),5,4.512947449806628
30,PI (d=1),0,1.5975927361255646
30,PI (d=1),1,1.5705987156206904
30,PI (d=1),2,1.6257437987329548
30,PI (d=1),3,1.6114396651858964
30,PI (d=1),4,1.6192443324431398
30,PI (d=1),5,1.5833545326409302
30,PI+res (d=3),0,1.4619977611693802
30,PI+res (d=3),1,1.433824546627449
30,PI+res (d=3),2,1.5024084719027249
30,PI+res (d=3),3,1.4829436083445968
30,PI+res (d=3),4,1.4871416595992475
30,PI+res (d=3),5,1.4547293214735397
100,P (d=0),0,3.9498625000646963
100,P (d=0),1,3.9201203670766946
100,P (d=0),2,3.931160967949024
100,P (d=0),3,3.9382288335978943
100,P (d=0),4,3.9153226005336026
100,P (d=0),5,3.873681724513952
100,PI (d=1),0,0.7475791100033262
100,PI (d=1),1,0.7385456555397105
100,PI (d=1),2,0.7553850330582076
100,PI (d=1),3,0.7510842264870818
100,PI (d=1),4,0.7568980618105163
100,PI (d=1),5,0.7403494076731119
100,PI+res (d=3),0,0.5009772437139008
100,PI+res (d=3),1,0.49328544003523167
100,PI+res (d=3),2,0.513151264439958
100,PI+res (d=3),3,0.5054662329471473
100,PI+res (d=3),4,0.5110320198140973
100,PI+res (d=3),5,0.49896691027339946
300,P (d=0),0,3.7488944950103775
300,P (d=0),1,3.7311651226469618
300,P (d=0),2,3.7336940798217317
300,P (d=0),3,3.7399125661026202
300,P (d=0),4,3.723784821019921
300,P (d=0),5,3.7001494544084585
300,PI (d=1),0,0.5052842727519721
300,PI (d=1),1,0.5011857118591085
300,PI (d=1),2,0.5071208690254444
300,PI (d=1),3,0.5067233614418859
300,PI (d=1),4,0.5100265115873416
300,PI (d=1),5,0.5005879840326065
300,PI+res (d=3),0,0.22691738113871185
300,PI+res (d=3),1,0.22486442440797255
300,PI+res (d=3),2,0.23068465241071734
300,PI+res (d=3),3,0.22808572120599382
300,PI+res (d=3),4,0.2317964468738507
300,PI+res (d=3),5,0.22632020962226085
